attraction_id,attraction_name,locality_ar,region_ar,feature_id,feature_name,primary_category,folders,longitude,latitude,name_score,context_score,combined_score,feature_index
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","543","بحيرة المجدوب","البحيرات الطبيعية والصحراوية","Untitled layer","20.1287556","32.1554139","0.3333","0.3333","0.3333","542"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","544","بحيرة الملح","البحيرات الطبيعية والصحراوية","Untitled layer","15.8558333","29.1516667","0.3333","0.3333","0.3333","543"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","545","بحيرة الملفا","البحيرات الطبيعية والصحراوية","Untitled layer","24.783843","29.7452377","0.3333","0.3333","0.3333","544"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","546","بحيرة بزيمة","البحيرات الطبيعية والصحراوية","Untitled layer","22.0435899","24.8924127","0.3333","0.3333","0.3333","545"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","549","بحيرة بوحميرة","البحيرات الطبيعية والصحراوية","Untitled layer","20.1330471","32.1569398","0.3333","0.3333","0.3333","548"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","587","قلتة","البرك والبلطات والقلتات","Untitled layer","10.49872","24.78918","0.5000","0.2500","0.4500","586"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","588","قلتة الحمار","البرك والبلطات والقلتات","Untitled layer","12.5056158","32.2013474","0.3333","0.2308","0.3128","587"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","589","قلتة انتريكي","البرك والبلطات والقلتات","Untitled layer","10.5405583333334","24.7433388888889","0.3333","0.2308","0.3128","588"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","590","قلتة تيبستين","البرك والبلطات والقلتات","Untitled layer","10.55585","24.8947305555556","0.3333","0.2308","0.3128","589"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","136","قلتة وادي بوبو","الأودية ومصباتها","Untitled layer","10.6366694444445","24.5794388888889","0.2500","0.2667","0.2533","135"
